County,Population
Los Angeles,10019635
San Diego,3296317
Orange,3182923
Riverside,2409331
San Bernardino,2171071
Santa Clara,1932022
Alameda,1673133
Sacramento,1571767
Contra Costa,1161643
Fresno,1003150
Kern,905644
San Francisco,865933
Ventura,845255
San Joaquin,771406
San Mateo,762488
Stanislaus,550842
Sonoma,492498
Tulare,470999
Solano,451432
Santa Barbara,447651
Monterey,438953
Placer,400330
San Luis Obispo,282771
Merced,279150
Santa Cruz,272138
Marin,262387
Butte,217884
Yolo,216703
El Dorado,190568
Shasta,181935
Imperial,180051
Madera,156304
Kings,151887
Napa,138795
Humboldt,137014
Nevada,102090
Sutter,99080
Mendocino,91534
Yuba,80404
Lake,67749
Tehama,65345
San Benito,63329
Tuolumne,55243
Calaveras,45349
Siskiyou,44151
Amador,40095
Lassen,32949
Glenn,28675
Del Norte,27655
Colusa,21780
Plumas,19631
Inyo,18804
Mariposa,17225
Trinity,15818
Mono,13291
Modoc,8723
Sierra,3079
Alpine,1344
